Company,Date,Open,High,Low,Close,Adj Close,Volume,PctChange
MSFT,2/8/18,89.709999,89.879997,84.760002,85.010002,84.612534,55628700,-9.813282202
MSFT,2/9/18,86.300003,88.93,83.830002,88.18,87.767715,63499100,-6.450245991
MSFT,2/12/18,88.739998,89.779999,87.93,89.129997,88.713272,35720300,-5.442398569
MSFT,2/13/18,88.93,90,87.800003,89.830002,89.410004,26407700,-4.699766503
MSFT,2/14/18,88.510002,90.989998,88.410004,90.809998,90.809998,34960900,-3.660093281
MSFT,2/15/18,91.209999,92.720001,90.620003,92.660004,92.660004,27823900,-1.697430475
MSFT,2/16/18,92.449997,93.5,91.800003,92,92,30596900,-2.397625665
MSFT,2/20/18,91.480003,93.059998,91.010002,92.720001,92.720001,30911700,-1.633779936
MSFT,2/21/18,92.980003,93.360001,91.489998,91.489998,91.489998,26922500,-2.938684427
MSFT,2/22/18,92.050003,92.730003,91.360001,91.730003,91.730003,24392800,-2.684064233
MSFT,2/23/18,93.599998,94.07,92.360001,94.059998,94.059998,26329200,-0.212183318
MSFT,2/26/18,94.400002,95.449997,94.25,95.419998,95.419998,30199800,1.230634389
MSFT,2/27/18,95.739998,95.839996,94.199997,94.199997,94.199997,25869100,-0.063659027
MSFT,2/28/18,94.839996,95.709999,93.629997,93.769997,93.769997,31167300,-0.519844037
NKE,2/1/18,67.669998,67.970001,66.699997,67.650002,67.650002,5790500,0
NKE,2/2/18,67.220001,67.790001,67,67.220001,67.220001,9348300,-0.635625997
NKE,2/5/18,66.629997,67.209999,64.389999,64.389999,64.389999,12549500,-4.818925209
NKE,2/6/18,62.48,65.419998,62.09,65.220001,65.220001,13356700,-3.59201911
NKE,2/7/18,65.150002,66.839996,65.099998,65.629997,65.629997,8845700,-2.985964435
NKE,2/8/18,65.529999,65.709999,62.459999,62.490002,62.490002,14121800,-7.627494231
NKE,2/9/18,63.759998,66.050003,62.84,65.489998,65.489998,13733300,-3.192910475
NKE,2/12/18,65.940002,66.82,65.68,65.980003,65.980003,9792200,-2.468586771
NKE,2/13/18,65.849998,66.230003,65.43,65.870003,65.870003,9538400,-2.631188392
NKE,2/14/18,65.720001,68.029999,65.550003,67.959999,67.959999,8662600,0.458236498
NKE,2/15/18,68.389999,68.760002,67.25,68.290001,68.290001,7390200,0.946044318
NKE,2/16/18,67.900002,69,67.739998,68.300003,68.300003,6842100,0.96082924
NKE,2/20/18,67.639999,67.970001,67.050003,67.489998,67.489998,4859100,-0.236517362
NKE,2/21/18,67.660004,68.019997,67.029999,67.050003,67.050003,5107900,-0.886916456
NKE,2/22/18,67.25,67.480003,66.739998,67.129997,67.129997,6515800,-0.7686696
NKE,2/23/18,67.389999,68.160004,66.849998,68.160004,68.160004,4428500,0.7538832
NKE,2/26/18,68.389999,69.809998,68.339996,69.650002,69.650002,6499500,2.956393113
NKE,2/27/18,70,70.25,68.029999,68.029999,68.029999,6843100,0.561710257
NKE,2/28/18,68.099998,68.300003,67.010002,67.029999,67.029999,6091800,-0.9164863
PFE,2/1/18,36.610001,37.400002,36.610001,36.830002,36.830002,28176400,0
PFE,2/2/18,36.599998,37.25,36.509998,36.610001,36.610001,24277900,-0.597341808
PFE,2/5/18,36.48,36.700001,34,34.669998,34.669998,40288100,-5.864794686
PFE,2/6/18,34.16,35.48,34,35.279999,35.279999,53164200,-4.208533575
PFE,2/7/18,35.130001,35.650002,34.970001,34.98,34.98,29370000,-5.023084169
